ID,Team A,Team B,A,B,Tournament,Phase,Extra
24627,Jacob K,Kenneth H,10,3,Copenhagen V,,
24628,Jorn F,Kenneth H,4,3,Copenhagen V,,
24629,Torgny A,Jacob K,2,5,Copenhagen V,,
24630,Alex Br,Jacob K,1,10,Copenhagen V,,
24631,Jorn F,Torgny A,1,0,Copenhagen V,,
24632,Wolf H,Gianni T,1,12,World Cup XVII,Round 1 - Group A,
24633,Steve C,Peter S,6,2,World Cup XVII,Round 1 - Group A,
24634,Sandro T,Cornelius H,8,3,World Cup XVII,Round 1 - Group A,
24635,Lorenzo L,Rodolfo M,4,0,World Cup XVII,Round 1 - Group A,
24636,Steve C,Wolf H,2,1,World Cup XVII,Round 1 - Group A,
24637,Sandro T,Gianni T,1,7,World Cup XVII,Round 1 - Group A,
24638,Lorenzo L,Peter S,3,0,World Cup XVII,Round 1 - Group A,
24639,Rodolfo M,Cornelius H,10,3,World Cup XVII,Round 1 - Group A,
24640,Wolf H,Sandro T,0,11,World Cup XVII,Round 1 - Group A,
24641,Lorenzo L,Steve C,5,3,World Cup XVII,Round 1 - Group A,
24642,Rodolfo M,Gianni T,0,10,World Cup XVII,Round 1 - Group A,
24643,Cornelius H,Peter S,3,2,World Cup XVII,Round 1 - Group A,
24644,Lorenzo L,Wolf H,6,0,World Cup XVII,Round 1 - Group A,
24645,Rodolfo M,Sandro T,1,4,World Cup XVII,Round 1 - Group A,
24646,Cornelius H,Steve C,3,5,World Cup XVII,Round 1 - Group A,
24647,Peter S,Gianni T,1,9,World Cup XVII,Round 1 - Group A,
24648,Wolf H,Rodolfo M,5,6,World Cup XVII,Round 1 - Group A,
24649,Cornelius H,Lorenzo L,1,2,World Cup XVII,Round 1 - Group A,
24650,Peter S,Sandro T,0,4,World Cup XVII,Round 1 - Group A,
24651,Gianni T,Steve C,6,9,World Cup XVII,Round 1 - Group A,
24652,Cornelius H,Wolf H,5,1,World Cup XVII,Round 1 - Group A,
24653,Peter S,Rodolfo M,6,3,World Cup XVII,Round 1 - Group A,
24654,Gianni T,Lorenzo L,6,1,World Cup XVII,Round 1 - Group A,
24655,Steve C,Sandro T,7,4,World Cup XVII,Round 1 - Group A,
24656,Wolf H,Peter S,4,8,World Cup XVII,Round 1 - Group A,
24657,Gianni T,Cornelius H,12,2,World Cup XVII,Round 1 - Group A,
24658,Steve C,Rodolfo M,5,1,World Cup XVII,Round 1 - Group A,
24659,Sandro T,Lorenzo L,3,2,World Cup XVII,Round 1 - Group A,
24660,Thomas N,Thor S,1,13,World Cup XVII,Round 1 - Group B,
24661,Christopher D,Ian K,9,0,World Cup XVII,Round 1 - Group B,
24662,John H,Torgny A,10,1,World Cup XVII,Round 1 - Group B,
24663,Lee W,Jorn F,5,2,World Cup XVII,Round 1 - Group B,
24664,Christopher D,Thomas N,7,0,World Cup XVII,Round 1 - Group B,
24665,John H,Thor S,3,5,World Cup XVII,Round 1 - Group B,
24666,Lee W,Ian K,7,3,World Cup XVII,Round 1 - Group B,
24667,Jorn F,Torgny A,5,2,World Cup XVII,Round 1 - Group B,
24668,Thomas N,John H,1,7,World Cup XVII,Round 1 - Group B,
24669,Lee W,Christopher D,3,6,World Cup XVII,Round 1 - Group B,
24670,Jorn F,Thor S,1,6,World Cup XVII,Round 1 - Group B,
24671,Torgny A,Ian K,1,3,World Cup XVII,Round 1 - Group B,
24672,Lee W,Thomas N,6,1,World Cup XVII,Round 1 - Group B,
24673,Jorn F,John H,2,1,World Cup XVII,Round 1 - Group B,
24674,Torgny A,Christopher D,0,3,World Cup XVII,Round 1 - Group B,
24675,Ian K,Thor S,2,11,World Cup XVII,Round 1 - Group B,
24676,Thomas N,Jorn F,1,5,World Cup XVII,Round 1 - Group B,
24677,Torgny A,Lee W,2,3,World Cup XVII,Round 1 - Group B,
24678,Ian K,John H,1,2,World Cup XVII,Round 1 - Group B,
24679,Thor S,Christopher D,4,3,World Cup XVII,Round 1 - Group B,
24680,Torgny A,Thomas N,4,1,World Cup XVII,Round 1 - Group B,
24681,Ian K,Jorn F,2,3,World Cup XVII,Round 1 - Group B,
24682,Thor S,Lee W,6,1,World Cup XVII,Round 1 - Group B,
24683,Christopher D,John H,6,3,World Cup XVII,Round 1 - Group B,
24684,Thomas N,Ian K,2,4,World Cup XVII,Round 1 - Group B,
24685,Thor S,Torgny A,11,1,World Cup XVII,Round 1 - Group B,
24686,Christopher D,Jorn F,5,1,World Cup XVII,Round 1 - Group B,
24687,John H,Lee W,5,2,World Cup XVII,Round 1 - Group B,
24688,Dennis N,Dagh N,1,13,World Cup XVII,Round 1 - Group C,
24689,Oliver St,Stephen D,8,1,World Cup XVII,Round 1 - Group C,
24690,Frank F,Paolo S,7,3,World Cup XVII,Round 1 - Group C,
24691,Robert S,Michael G,2,2,World Cup XVII,Round 1 - Group C,
24692,Oliver St,Dennis N,9,1,World Cup XVII,Round 1 - Group C,
24693,Frank F,Dagh N,4,11,World Cup XVII,Round 1 - Group C,
24694,Robert S,Stephen D,4,2,World Cup XVII,Round 1 - Group C,
24695,Michael G,Paolo S,3,3,World Cup XVII,Round 1 - Group C,
24696,Dennis N,Frank F,0,8,World Cup XVII,Round 1 - Group C,
24697,Robert S,Oliver St,1,7,World Cup XVII,Round 1 - Group C,
24698,Michael G,Dagh N,1,10,World Cup XVII,Round 1 - Group C,
24699,Paolo S,Stephen D,5,1,World Cup XVII,Round 1 - Group C,
24700,Robert S,Dennis N,4,1,World Cup XVII,Round 1 - Group C,
24701,Michael G,Frank F,2,8,World Cup XVII,Round 1 - Group C,
24702,Paolo S,Oliver St,0,8,World Cup XVII,Round 1 - Group C,
24703,Stephen D,Dagh N,0,9,World Cup XVII,Round 1 - Group C,
24704,Dennis N,Michael G,1,6,World Cup XVII,Round 1 - Group C,
24705,Paolo S,Robert S,3,4,World Cup XVII,Round 1 - Group C,
24706,Stephen D,Frank F,0,2,World Cup XVII,Round 1 - Group C,
24707,Dagh N,Oliver St,12,5,World Cup XVII,Round 1 - Group C,
24708,Paolo S,Dennis N,2,2,World Cup XVII,Round 1 - Group C,
24709,Stephen D,Michael G,2,2,World Cup XVII,Round 1 - Group C,
24710,Dagh N,Robert S,10,2,World Cup XVII,Round 1 - Group C,
24711,Oliver St,Frank F,8,2,World Cup XVII,Round 1 - Group C,
24712,Dennis N,Stephen D,2,4,World Cup XVII,Round 1 - Group C,
24713,Dagh N,Paolo S,12,2,World Cup XVII,Round 1 - Group C,
24714,Oliver St,Michael G,6,2,World Cup XVII,Round 1 - Group C,
24715,Frank F,Robert S,5,2,World Cup XVII,Round 1 - Group C,
24716,Jaume P,Andy G,3,9,World Cup XVII,Round 1 - Group D,
24717,Fabio F,Peter K,10,0,World Cup XVII,Round 1 - Group D,
24718,Jacob K,Michele L,7,2,World Cup XVII,Round 1 - Group D,
24719,Marco D,Jorg P,6,5,World Cup XVII,Round 1 - Group D,
24720,Fabio F,Jaume P,10,0,World Cup XVII,Round 1 - Group D,
24721,Jacob K,Andy G,3,8,World Cup XVII,Round 1 - Group D,
24722,Marco D,Peter K,3,3,World Cup XVII,Round 1 - Group D,
24723,Jorg P,Michele L,3,2,World Cup XVII,Round 1 - Group D,
24724,Jaume P,Jacob K,2,7,World Cup XVII,Round 1 - Group D,
24725,Marco D,Fabio F,3,8,World Cup XVII,Round 1 - Group D,
24726,Jorg P,Andy G,4,5,World Cup XVII,Round 1 - Group D,
24727,Michele L,Peter K,4,3,World Cup XVII,Round 1 - Group D,
24728,Marco D,Jaume P,5,1,World Cup XVII,Round 1 - Group D,
24729,Jorg P,Jacob K,1,3,World Cup XVII,Round 1 - Group D,
24730,Michele L,Fabio F,0,14,World Cup XVII,Round 1 - Group D,
24731,Peter K,Andy G,1,5,World Cup XVII,Round 1 - Group D,
24732,Jaume P,Jorg P,7,3,World Cup XVII,Round 1 - Group D,
24733,Michele L,Marco D,4,2,World Cup XVII,Round 1 - Group D,
24734,Peter K,Jacob K,2,3,World Cup XVII,Round 1 - Group D,
24735,Andy G,Fabio F,5,4,World Cup XVII,Round 1 - Group D,
24736,Michele L,Jaume P,4,3,World Cup XVII,Round 1 - Group D,
24737,Peter K,Jorg P,1,1,World Cup XVII,Round 1 - Group D,
24738,Andy G,Marco D,4,3,World Cup XVII,Round 1 - Group D,
24739,Fabio F,Jacob K,7,1,World Cup XVII,Round 1 - Group D,
24740,Jaume P,Peter K,3,5,World Cup XVII,Round 1 - Group D,
24741,Andy G,Michele L,7,3,World Cup XVII,Round 1 - Group D,
24742,Fabio F,Jorg P,14,3,World Cup XVII,Round 1 - Group D,
24743,Jacob K,Marco D,3,6,World Cup XVII,Round 1 - Group D,
24744,Wolf H,Rodolfo M,3,6,World Cup XVII,Silver Cup - Group G,
24745,Peter K,Jorg P,3,1,World Cup XVII,Silver Cup - Group G,
24746,Stephen D,Paolo S,2,1,World Cup XVII,Silver Cup - Group G,
24747,Thomas N,Jorn F,3,2,World Cup XVII,Silver Cup - Group G,
24748,Peter K,Wolf H,4,0,World Cup XVII,Silver Cup - Group G,
24749,Stephen D,Rodolfo M,1,7,World Cup XVII,Silver Cup - Group G,
